Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,$56.00 ,252,"1,411",$706 ,Online
Foot Locker,1185732,2020-12-17,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,$38.00 ,52,198,$79 ,Online
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,$60.00 ,925,"55,500","$16,650 ",Outlet
West Gear,1128299,2020-03-04,West,Nevada,Las Vegas,Men's Athletic Footwear,$65.00 ,575,"37,375","$7,475 ",In-store
West Gear,1128299,2020-08-01,West,Washington,Seattle,Men's Athletic Footwear,$77.00 ,195,"1,502",$571 ,Online
West Gear,1128299,2020-05-21,West,Colorado,Denver,Men's Athletic Footwear,$64.00 ,182,"1,165",$443 ,Online
West Gear,1128299,2020-01-24,West,Nevada,Las Vegas,Men's Apparel,$63.00 ,52,328,$216 ,Online
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"56,875","$17,063 ",Outlet
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Apparel,$55.00 ,675,"37,125","$12,994 ",In-store
West Gear,1128299,2020-07-23,West,Washington,Seattle,Men's Apparel,$70.00 ,325,"22,750","$5,688 ",In-store
West Gear,1185732,2020-09-07,Southeast,Florida,Miami,Women's Street Footwear,$50.00 ,800,"40,000","$10,000 ",In-store
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"54,000","$16,200 ",Outlet
West Gear,1128299,2020-03-06,West,Nevada,Las Vegas,Women's Athletic Footwear,$56.00 ,108,605,$248 ,Online
West Gear,1128299,2020-04-30,West,Colorado,Denver,Men's Apparel,$74.00 ,140,"1,036",$756 ,Online
West Gear,1128299,2020-06-16,West,Washington,Seattle,Women's Athletic Footwear,$60.00 ,300,"18,000","$5,400 ",In-store
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,$47.00 ,261,"1,227",$552 ,Online
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","50,000","$12,500 ",In-store
West Gear,1128299,2020-06-28,West,Washington,Seattle,Women's Athletic Footwear,$75.00 ,125,938,$375 ,Online
West Gear,1128299,2020-05-07,West,Colorado,Denver,Women's Apparel,$65.00 ,106,689,$214 ,Online
Foot Locker,1185732,2020-11-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$40.00 ,175,"7,000","$2,450 ",Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,$45.00 ,625,"28,125","$8,438 ",Outlet
West Gear,1185732,2020-09-16,Southeast,Florida,Miami,Women's Apparel,$67.00 ,244,"1,635","$1,063 ",Online
West Gear,1128299,2020-06-02,West,Washington,Seattle,Men's Athletic Footwear,$50.00 ,450,"22,500","$5,625 ",In-store
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,$47.00 ,206,968,$465 ,Online
West Gear,1128299,2020-04-27,West,Colorado,Denver,Men's Athletic Footwear,$75.00 ,675,"50,625","$15,188 ",In-store
Foot Locker,1185732,2020-11-11,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,$45.00 ,150,"6,750","$2,025 ",In-store
West Gear,1128299,2020-06-27,West,Washington,Seattle,Women's Street Footwear,$72.00 ,163,"1,174",$446 ,Online
Foot Locker,1185732,2020-09-20,Southeast,Florida,Miami,Women's Athletic Footwear,$44.00 ,233,"1,025",$410 ,Online
West Gear,1128299,2020-04-19,West,Colorado,Denver,Women's Apparel,$83.00 ,181,"1,502",$646 ,Online
Foot Locker,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,$45.00 ,"1,025","46,125","$20,756 ",In-store
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,$45.00 ,850,"38,250","$13,388 ",Outlet
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,$36.00 ,250,900,$414 ,Online
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","55,000","$16,500 ",Outlet
West Gear,1128299,2020-07-01,West,Washington,Seattle,Men's Street Footwear,$73.00 ,239,"1,745",$698 ,Online
Sports Direct,1185732,2020-10-09,Southeast,Florida,Miami,Men's Apparel,$64.00 ,195,"1,248",$624 ,Online
West Gear,1128299,2020-04-04,West,Colorado,Denver,Women's Street Footwear,$65.00 ,375,"24,375","$8,531 ",In-store
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,$34.00 ,384,"1,306",$679 ,Outlet
Foot Locker,1185732,2020-09-22,Southeast,Florida,Miami,Women's Apparel,$56.00 ,278,"1,557",$950 ,Online
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,$34.00 ,281,955,$373 ,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,$45.00 ,168,756,$438 ,Online
West Gear,1128299,2020-06-05,West,Washington,Seattle,Men's Apparel,$55.00 ,225,"12,375","$3,094 ",In-store
West Gear,1128299,2020-03-18,West,Nevada,Las Vegas,Women's Athletic Footwear,$26.00 ,96,250,$85 ,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,$48.00 ,355,"1,704",$511 ,Outlet
West Gear,1128299,2020-02-07,West,Nevada,Las Vegas,Men's Street Footwear,$58.00 ,218,"1,264",$670 ,Online
West Gear,1128299,2020-05-01,West,Colorado,Denver,Women's Apparel,$74.00 ,100,740,$259 ,Online
Foot Locker,1185732,2020-12-11,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,$35.00 ,200,"7,000","$2,100 ",Outlet
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Apparel,$58.00 ,196,"1,137",$534 ,Online
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"42,750","$14,963 ",Outlet
West Gear,1185732,2020-09-12,Southeast,Florida,Miami,Men's Athletic Footwear,$57.00 ,225,"1,283",$590 ,Online
West Gear,1128299,2020-03-18,West,Nevada,Las Vegas,Women's Athletic Footwear,$38.00 ,72,274,$123 ,Online
West Gear,1185732,2020-09-15,Southeast,Florida,Miami,Men's Apparel,$65.00 ,800,"52,000","$18,200 ",In-store
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,$45.00 ,288,"1,296",$441 ,Outlet
West Gear,1128299,2020-06-23,West,Washington,Seattle,Men's Apparel,$65.00 ,200,"13,000","$3,250 ",In-store
West Gear,1128299,2020-02-20,West,Nevada,Las Vegas,Men's Athletic Footwear,$65.00 ,600,"39,000","$7,800 ",In-store
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,$47.00 ,293,"1,377",$868 ,Online
West Gear,1128299,2020-05-29,West,Colorado,Denver,Women's Athletic Footwear,$50.00 ,300,"15,000","$4,500 ",In-store
West Gear,1128299,2020-02-23,West,Nevada,Las Vegas,Men's Apparel,$67.00 ,120,804,$490 ,Online
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,$50.00 ,"1,000","50,000","$25,000 ",Outlet
West Gear,1128299,2020-02-14,West,Nevada,Las Vegas,Men's Athletic Footwear,$56.00 ,208,"1,165",$338 ,Outlet
West Gear,1128299,2020-02-17,West,Nevada,Las Vegas,Men's Apparel,$75.00 ,475,"35,625","$19,594 ",In-store
Foot Locker,1185732,2020-12-04,Midwest,Minnesota,Minneapolis,Men's Street Footwear,$45.00 ,450,"20,250","$7,088 ",Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,$42.00 ,333,"1,399",$559 ,Outlet
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,$40.00 ,"1,000","40,000","$14,000 ",In-store
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,675,"43,875","$8,775 ",Outlet
West Gear,1128299,2020-06-23,West,Washington,Seattle,Men's Apparel,$60.00 ,52,312,$119 ,Online
West Gear,1128299,2020-01-04,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,$36.00 ,140,504,$237 ,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,$33.00 ,264,871,$366 ,Outlet
Foot Locker,1185732,2020-10-31,Midwest,Minnesota,Minneapolis,Women's Street Footwear,$29.00 ,53,154,$69 ,Online
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,$46.00 ,347,"1,596",$511 ,Outlet
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Apparel,$44.00 ,208,915,$549 ,Online
West Gear,1128299,2020-04-11,West,Colorado,Denver,Women's Athletic Footwear,$60.00 ,275,"16,500","$7,425 ",In-store
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,$44.00 ,320,"1,408",$408 ,Outlet
West Gear,1128299,2020-04-20,West,Colorado,Denver,Men's Street Footwear,$64.00 ,202,"1,293",$776 ,Online
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,$50.00 ,140,700,$427 ,Online
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,$50.00 ,330,"1,650",$462 ,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,$33.00 ,210,693,$319 ,Online
West Gear,1128299,2020-05-13,West,Colorado,Denver,Women's Apparel,$70.00 ,350,"24,500","$4,900 ",In-store
West Gear,1128299,2020-02-07,West,Nevada,Las Vegas,Men's Street Footwear,$48.00 ,233,"1,118",$492 ,Outlet
Sports Direct,1185732,2020-10-07,Southeast,Florida,Miami,Women's Street Footwear,$50.00 ,745,"37,250","$9,313 ",In-store
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"38,000","$13,300 ",Outlet
West Gear,1128299,2020-03-11,West,Nevada,Las Vegas,Women's Street Footwear,$60.00 ,475,"28,500","$9,975 ",In-store
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Apparel,$45.00 ,800,"36,000","$18,000 ",In-store
Foot Locker,1185732,2020-11-06,Midwest,Minnesota,Minneapolis,Women's Street Footwear,$30.00 ,100,"3,000",$900 ,In-store
Foot Locker,1185732,2020-11-11,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,$44.00 ,44,194,$79 ,Online
Foot Locker,1185732,2020-08-06,West,Washington,Seattle,Men's Street Footwear,$45.00 ,"1,050","47,250","$21,263 ",In-store
Foot Locker,1185732,2020-11-22,Midwest,Minnesota,Minneapolis,Men's Street Footwear,$49.00 ,160,784,$368 ,Online
West Gear,1128299,2020-07-03,West,Washington,Seattle,Women's Street Footwear,$85.00 ,625,"53,125","$13,281 ",In-store
West Gear,1128299,2020-04-08,West,Colorado,Denver,Men's Street Footwear,$60.00 ,525,"31,500","$15,750 ",In-store
West Gear,1128299,2020-02-25,West,Nevada,Las Vegas,Men's Street Footwear,$47.00 ,171,804,$321 ,Outlet
West Gear,1128299,2020-01-03,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$35.00 ,135,473,$146 ,Outlet
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Street Footwear,$32.00 ,203,650,$260 ,Online
Kohl's,1189833,2020-12-30,Midwest,Minnesota,Minneapolis,Women's Street Footwear,$41.00 ,119,488,$288 ,Online
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,$47.00 ,336,"1,579",$963 ,Online
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,$65.00 ,"1,075","69,875","$31,444 ",In-store
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,$35.00 ,180,630,$221 ,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,$36.00 ,350,"1,260",$365 ,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,$47.00 ,352,"1,654",$447 ,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"1,085",$445 ,Outlet
Foot Locker,1185732,2020-11-15,Midwest,Minnesota,Minneapolis,Women's Apparel,$58.00 ,51,296,$175 ,Online
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,$39.00 ,189,737,$442 ,Online
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,$38.00 ,259,984,$453 ,Online
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,$54.00 ,270,"1,458",$656 ,Online
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,$36.00 ,302,"1,087",$565 ,Outlet
Foot Locker,1185732,2020-10-28,Midwest,Minnesota,Minneapolis,Women's Apparel,$35.00 ,225,"7,875","$3,544 ",In-store
West Gear,1185732,2020-09-19,Southeast,Florida,Miami,Women's Street Footwear,$53.00 ,231,"1,224",$453 ,Online
West Gear,1128299,2020-01-14,West,Nevada,Las Vegas,Men's Street Footwear,$43.00 ,160,688,$378 ,Online
Foot Locker,1185732,2020-08-19,Southeast,Florida,Miami,Men's Athletic Footwear,$42.00 ,225,945,$454 ,Online
West Gear,1128299,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,$45.00 ,300,"13,500","$4,725 ",Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,$68.00 ,290,"1,972",$749 ,Online
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,$45.00 ,350,"1,575",$473 ,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,$39.00 ,297,"1,158",$533 ,Online
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,$50.00 ,900,"45,000","$15,750 ",Outlet
West Gear,1128299,2020-05-12,West,Colorado,Denver,Men's Apparel,$65.00 ,300,"19,500","$10,725 ",In-store
Foot Locker,1185732,2020-12-10,Midwest,Minnesota,Minneapolis,Men's Street Footwear,$41.00 ,98,402,$189 ,Online
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,$43.00 ,289,"1,243",$398 ,Outlet
Foot Locker,1185732,2020-11-20,Midwest,Minnesota,Minneapolis,Men's Apparel,$50.00 ,150,"7,500","$2,250 ",Outlet
West Gear,1128299,2020-02-28,West,Nevada,Las Vegas,Women's Athletic Footwear,$60.00 ,350,"21,000","$6,300 ",In-store
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,$62.00 ,203,"1,259",$378 ,Online
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,$43.00 ,234,"1,006",$493 ,Online
Kohl's,1189833,2020-12-31,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$44.00 ,98,431,$224 ,Online
West Gear,1128299,2020-03-17,West,Nevada,Las Vegas,Women's Street Footwear,$40.00 ,425,"17,000","$5,950 ",In-store
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,$32.00 ,248,794,$302 ,Outlet
West Gear,1128299,2020-05-04,West,Colorado,Denver,Women's Street Footwear,$65.00 ,450,"29,250","$11,700 ",In-store
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,$62.00 ,145,899,$566 ,Online
Foot Locker,1185732,2020-08-06,West,Washington,Seattle,Men's Street Footwear,$44.00 ,273,"1,201",$661 ,Online
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,259,"1,295",$518 ,Online
West Gear,1128299,2020-05-19,West,Colorado,Denver,Women's Apparel,$73.00 ,130,949,$294 ,Online
Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,$45.00 ,"1,100","49,500","$22,275 ",In-store
Foot Locker,1185732,2020-10-26,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$30.00 ,75,"2,250",$788 ,In-store
West Gear,1128299,2020-03-28,West,Colorado,Denver,Men's Athletic Footwear,$50.00 ,400,"20,000","$4,000 ",In-store
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,$29.00 ,228,661,$364 ,Outlet
West Gear,1128299,2020-08-04,West,Washington,Seattle,Men's Apparel,$82.00 ,133,"1,091",$414 ,Online
West Gear,1128299,2020-01-19,West,Nevada,Las Vegas,Women's Apparel,$55.00 ,375,"20,625","$4,125 ",Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,350,"1,505",$497 ,Outlet
West Gear,1128299,2020-05-30,West,Washington,Seattle,Men's Apparel,$51.00 ,73,372,$145 ,Online
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,,850,"51,000","$15,300 ",Outlet
West Gear,1128299,2020-07-09,West,Washington,Seattle,Women's Street Footwear,$75.00 ,625,"46,875","$11,719 ",In-store
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","55,000","$16,500 ",Outlet
Foot Locker,1185732,2020-10-22,Midwest,Minnesota,Minneapolis,Women's Apparel,$35.00 ,250,"8,750","$3,938 ",In-store
West Gear,1128299,2020-04-21,West,Colorado,Denver,Men's Athletic Footwear,$67.00 ,188,"1,260",$504 ,Online
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,$50.00 ,975,"48,750","$24,375 ",Outlet
West Gear,1128299,2020-03-27,West,Colorado,Denver,Men's Street Footwear,$37.00 ,165,611,$293 ,Online
West Gear,1128299,2020-04-18,West,Colorado,Denver,Men's Apparel,$66.00 ,91,601,$462 ,Online
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,$35.00 ,725,"25,375","$8,881 ",Outlet
West Gear,1128299,2020-07-07,West,Washington,Seattle,Men's Street Footwear,$85.00 ,775,"65,875","$19,763 ",In-store
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,$38.00 ,203,771,$440 ,Online
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,$35.00 ,625,"21,875","$9,844 ",Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"38,000","$13,300 ",Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,$41.00 ,196,804,$321 ,Online
West Gear,1128299,2020-06-09,West,Washington,Seattle,Women's Street Footwear,$60.00 ,115,690,$276 ,Online
Sports Direct,1185732,2020-09-30,Southeast,Florida,Miami,Men's Athletic Footwear,$47.00 ,215,"1,011",$455 ,Online
West Gear,1128299,2020-05-28,West,Colorado,Denver,Women's Street Footwear,$46.00 ,135,621,$217 ,Online
West Gear,1128299,2020-01-30,West,Nevada,Las Vegas,Men's Apparel,$43.00 ,66,284,$187 ,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,$29.00 ,306,887,$364 ,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"47,500","$16,625 ",Outlet
West Gear,1128299,2020-01-23,West,Nevada,Las Vegas,Women's Athletic Footwear,$40.00 ,90,360,$148 ,Outlet
West Gear,1128299,2020-07-15,West,Washington,Seattle,Women's Street Footwear,$63.00 ,135,851,$315 ,Online
West Gear,1128299,2020-02-08,West,Nevada,Las Vegas,Men's Athletic Footwear,$65.00 ,600,"39,000","$9,750 ",Outlet
Foot Locker,1185732,2020-11-07,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$32.00 ,7,22,$11 ,Online
Kohl's,1189833,2020-12-31,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,$45.00 ,325,"14,625","$5,850 ",Outlet
Foot Locker,1185732,2020-12-03,Midwest,Minnesota,Minneapolis,Women's Apparel,$50.00 ,325,"16,250","$7,313 ",Outlet
West Gear,1128299,2020-01-16,West,Nevada,Las Vegas,Women's Street Footwear,$43.00 ,128,550,$259 ,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,$46.00 ,247,"1,136",$511 ,Online
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,$30.00 ,195,585,$187 ,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,$42.00 ,150,630,$258 ,Online
Foot Locker,1185732,2020-05-24,Southeast,Florida,Miami,Men's Apparel,$60.00 ,202,"1,212",$594 ,Online
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,$42.00 ,147,617,$259 ,Online
Foot Locker,1185732,2020-04-24,Southeast,Florida,Miami,Men's Athletic Footwear,$41.00 ,210,861,$431 ,Online
West Gear,1128299,2020-06-15,West,Washington,Seattle,Women's Street Footwear,$75.00 ,400,"30,000","$7,500 ",In-store
West Gear,1128299,2020-03-29,West,Colorado,Denver,Women's Street Footwear,$51.00 ,116,592,$290 ,Online
Foot Locker,1185732,2020-08-10,Southeast,Florida,Miami,Men's Apparel,$55.00 ,750,"41,250","$14,438 ",In-store
Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,$43.00 ,319,"1,372",$782 ,Online
West Gear,1128299,2020-02-16,West,Nevada,Las Vegas,Women's Athletic Footwear,$42.00 ,152,638,$268 ,Outlet
Foot Locker,1185732,2020-10-30,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,$40.00 ,125,"5,000","$1,500 ",In-store
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,$62.00 ,245,"1,519",$289 ,Outlet
West Gear,1128299,2020-07-17,West,Washington,Seattle,Men's Apparel,$72.00 ,111,799,$320 ,Online
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,050","68,250","$17,063 ",Outlet
West Gear,1128299,2020-07-28,West,Washington,Seattle,Women's Athletic Footwear,$69.00 ,117,807,$347 ,Online
Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,$75.00 ,275,"20,625","$6,188 ",Outlet
West Gear,1128299,2020-03-02,West,Nevada,Las Vegas,Women's Apparel,$68.00 ,94,639,$160 ,Online
West Gear,1128299,2020-06-14,West,Washington,Seattle,Men's Athletic Footwear,$75.00 ,350,"26,250","$6,563 ",In-store
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,$45.00 ,300,"1,350",$837 ,Online
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,$36.00 ,288,"1,037",$435 ,Outlet
Sports Direct,1185732,2020-09-27,Southeast,Florida,Miami,Men's Apparel,$50.00 ,210,"1,050",$525 ,Online
West Gear,1128299,2020-03-24,West,Colorado,Denver,Women's Athletic Footwear,$40.00 ,275,"11,000","$3,300 ",In-store
West Gear,1128299,2020-01-13,West,Nevada,Las Vegas,Women's Apparel,$45.00 ,400,"18,000","$3,600 ",Outlet
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Athletic Footwear,$54.00 ,206,"1,112",$545 ,Online
West Gear,1128299,2020-04-06,West,Colorado,Denver,Men's Apparel,$65.00 ,175,"11,375","$5,688 ",In-store
Foot Locker,1185732,2020-09-23,Southeast,Florida,Miami,Men's Street Footwear,$55.00 ,"1,050","57,750","$25,988 ",In-store
West Gear,1128299,2020-05-06,West,Colorado,Denver,Men's Apparel,$75.00 ,400,"30,000","$16,500 ",In-store
West Gear,1128299,2020-05-18,West,Colorado,Denver,Men's Apparel,$75.00 ,375,"28,125","$15,469 ",In-store
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Street Footwear,$35.00 ,725,"25,375","$6,344 ",In-store
West Gear,1128299,2020-06-10,West,Washington,Seattle,Women's Athletic Footwear,$64.00 ,85,544,$228 ,Online
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,$53.00 ,267,"1,415",$594 ,Online
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,$41.00 ,125,513,$205 ,Online
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Women's Athletic Footwear,$46.00 ,140,644,$270 ,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,$37.00 ,200,740,$370 ,Outlet
West Gear,1128299,2020-05-05,West,Colorado,Denver,Women's Athletic Footwear,$65.00 ,400,"26,000","$9,100 ",In-store
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Athletic Footwear,$38.00 ,189,718,$323 ,Online
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,$30.00 ,204,612,$294 ,Outlet
West Gear,1185732,2020-09-18,Southeast,Florida,Miami,Men's Athletic Footwear,$55.00 ,252,"1,386",$624 ,Online
Foot Locker,1185732,2020-12-12,Midwest,Minnesota,Minneapolis,Women's Street Footwear,$35.00 ,100,"3,500","$1,050 ",Outlet
West Gear,1128299,2020-02-27,West,Nevada,Las Vegas,Women's Street Footwear,$47.00 ,113,531,$223 ,Outlet
West Gear,1128299,2020-05-30,West,Washington,Seattle,Men's Apparel,$55.00 ,250,"13,750","$3,438 ",In-store
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"49,500","$17,325 ",Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,$30.00 ,925,"27,750","$9,713 ",Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,$49.00 ,210,"1,029",$319 ,Online
Foot Locker,1185732,2020-11-03,Midwest,Minnesota,Minneapolis,Women's Apparel,$38.00 ,47,179,$98 ,Online
West Gear,1128299,2020-01-15,West,Nevada,Las Vegas,Men's Athletic Footwear,$42.00 ,124,521,$167 ,Outlet
West Gear,1128299,2020-06-08,West,Washington,Seattle,Men's Athletic Footwear,$58.00 ,115,667,$240 ,Online
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,$55.00 ,290,"1,595",$941 ,Online
West Gear,1128299,2020-06-21,West,Washington,Seattle,Women's Street Footwear,$61.00 ,120,732,$278 ,Online
West Gear,1128299,2020-03-22,West,Colorado,Denver,Men's Athletic Footwear,$40.00 ,425,"17,000","$3,400 ",In-store
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,$33.00 ,271,894,$376 ,Outlet
West Gear,1128299,2020-04-10,West,Colorado,Denver,Women's Street Footwear,$59.00 ,98,578,$347 ,Online
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,$43.00 ,294,"1,264",$531 ,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,$51.00 ,247,"1,260",$781 ,Online
West Gear,1128299,2020-06-28,West,Washington,Seattle,Women's Athletic Footwear,$80.00 ,500,"40,000","$12,000 ",In-store
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,$36.00 ,239,860,$215 ,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,$42.00 ,238,"1,000",$450 ,Online
West Gear,1128299,2020-01-06,West,Nevada,Las Vegas,Men's Apparel,$50.00 ,250,"12,500","$6,875 ",Outlet
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","60,000","$30,000 ",In-store
West Gear,1128299,2020-01-09,West,Nevada,Las Vegas,Men's Athletic Footwear,$45.00 ,425,"19,125","$4,781 ",Outlet
West Gear,1128299,2020-01-29,West,Nevada,Las Vegas,Women's Athletic Footwear,$47.00 ,105,494,$227 ,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,$33.00 ,289,954,$381 ,Outlet
